TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2003,2003,LV0,Latvija,Total,Total,Number,2299390,
2003,2003,LV00,Latvija,Total,Total,Number,2299390,
2009,2009,TR72,"Kayseri, Sivas, Yozgat",Total,Total,Number,2299704,
2008,2008,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2300139,
2007,2007,UKH1,East Anglia,Total,Total,Number,2300885,
2017,2017,UKE4,West Yorkshire,Total,Total,Number,2301000,
2018,2018,RO32,Bucuresti - Ilfov,Total,Total,Number,2301255,
2006,2006,RO41,Sud-Vest Oltenia,Total,Total,Number,2301833,
1997,1997,NL41,Noord-Brabant,Total,Total,Number,2304094,
1990,1990,FRF3,Lorraine,Total,Total,Number,2304291,
1990,1990,FR41,Lorraine (NUTS 2013),Total,Total,Number,2304291,
2013,2013,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2304318,
1991,1991,FRF3,Lorraine,Total,Total,Number,2304714,
1991,1991,FR41,Lorraine (NUTS 2013),Total,Total,Number,2304714,
1998,1998,PT16,Centro (PT),Total,Total,Number,2306952,
1992,1992,FRF3,Lorraine,Total,Total,Number,2307592,
1992,1992,FR41,Lorraine (NUTS 2013),Total,Total,Number,2307592,
1997,1997,RO32,Bucuresti - Ilfov,Total,Total,Number,2307700,
2009,2009,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2307856,
2018,2018,SE11,Stockholm,Total,Total,Number,2308143,
2009,2009,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2309167,
1992,1992,RO32,Bucuresti - Ilfov,Total,Total,Number,2309846,
2007,2007,DEG,Thüringen,Total,Total,Number,2311140,
2007,2007,DEG0,Thüringen,Total,Total,Number,2311140,
1993,1993,FRF3,Lorraine,Total,Total,Number,2311514,
1993,1993,FR41,Lorraine (NUTS 2013),Total,Total,Number,2311514,
2016,2016,IE06,Eastern and Midland,Total,Total,Number,2311578,
1999,1999,FRF3,Lorraine,Total,Total,Number,2311655,
1999,1999,FR41,Lorraine (NUTS 2013),Total,Total,Number,2311655,
1998,1998,FRF3,Lorraine,Total,Total,Number,2312566,
1998,1998,FR41,Lorraine (NUTS 2013),Total,Total,Number,2312566,
2018,2018,UKE4,West Yorkshire,Total,Total,Number,2313390,
1994,1994,FRF3,Lorraine,Total,Total,Number,2313867,
1994,1994,FR41,Lorraine (NUTS 2013),Total,Total,Number,2313867,
2005,2005,RO41,Sud-Vest Oltenia,Total,Total,Number,2313903,
2000,2000,FRF3,Lorraine,Total,Total,Number,2314909,
2000,2000,FR41,Lorraine (NUTS 2013),Total,Total,Number,2314909,
1995,1995,FRF3,Lorraine,Total,Total,Number,2315488,
