Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2014,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,59800,70130509800,2,20216,23708870000,1172751,BE
2014,BE21,Prov. Antwerpen,38600,69736072400,2,24209,43736880000,1806634,BE
2014,BE22,Prov. Limburg (BE),27300,23419141200,2,22181,19027530000,857844,BE
2014,BE23,Prov. Oost-Vlaanderen,29900,43986667400,2,25680,37778930000,1471126,BE
2014,BE24,Prov. Vlaams-Brabant,35400,39237643200,2,29121,32277750000,1108408,BE
2014,BE25,Prov. West-Vlaanderen,32000,37693920000,2,23761,27989090000,1177935,BE
2014,BE31,Prov. Brabant wallon,37200,14567854800,2,27176,10642190000,391609,BE
2014,BE32,Prov. Hainaut,21200,28289767600,2,17902,23888580000,1334423,BE
2014,BE33,Prov. Liège,23800,26076731800,2,19420,21277550000,1095661,BE
2014,BE34,Prov. Luxembourg (BE),20800,5786955200,2,21163,5887860000,278219,BE
2014,BE35,Prov. Namur,22900,11134667000,2,21278,10346110000,486230,BE
2014,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2015,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,62200,73651082200,2,20883,24727950000,1184101,BE
2015,BE21,Prov. Antwerpen,40900,74316649700,2,24989,45405890000,1817033,BE
2015,BE22,Prov. Limburg (BE),28100,24204778000,2,22749,19595210000,861380,BE
2015,BE23,Prov. Oost-Vlaanderen,31800,47033758200,2,26509,39208800000,1479049,BE
2015,BE24,Prov. Vlaams-Brabant,37400,41685666000,2,30067,33511949999.999996,1114590,BE
2015,BE25,Prov. West-Vlaanderen,33500,39562059500,2,24511,28946090000,1180957,BE
2015,BE31,Prov. Brabant wallon,38600,15221678400,2,27737,10937870000,394344,BE
2015,BE32,Prov. Hainaut,22000,29431160000,2,18176,24315220000,1337780,BE
2015,BE33,Prov. Liège,24600,27033013800,2,19881,21846930000,1098903,BE
2015,BE34,Prov. Luxembourg (BE),21600,6053637600,2,21768,6100680000,280261,BE
2015,BE35,Prov. Namur,23700,11586361200,2,21685,10601060000,488876,BE
2015,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2016,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,61200,73518642000,2,20359,24456830000,1201285,BE
